journal,quartile,quartile_source
International Journal of Athletic Therapy and Training,Q4,SCImago 2025
International Journal of Behavioral Nutrition and Physical Activity,Q1,SCImago 2025
International Journal of Bioinformatics Research and Applications,Q4,SCImago 2025
International Journal of Biological and Chemical Sciences,Q3,SCImago 2025
International Journal of Biological Markers,Q2,SCImago 2025
International Journal of Biomedical Imaging,Q2,SCImago 2025
International Journal of Biostatistics,Q2,SCImago 2025
International Journal of Bipolar Disorders,Q1,SCImago 2025
"International Journal of Body, Mind and Culture",Q4,SCImago 2025
International Journal of Breast Cancer,Q3,SCImago 2025
International Journal of Cancer,Q1,SCImago 2025
International Journal of Cancer Management,Q3,SCImago 2025
International Journal of Cardiology,Q1,SCImago 2025
International Journal of Cardiology: Cardiovascular Risk and Prevention,Q2,SCImago 2025
International Journal of Cardiology Congenital Heart Disease,Q3,SCImago 2025
International Journal of Cardiovascular Imaging,Q2,SCImago 2025
International Journal of Cardiovascular Sciences,Q4,SCImago 2025
International Journal of Care and Caring,Q3,SCImago 2025
International Journal of Care Coordination,Q3,SCImago 2025
International Journal of Child Care and Education Policy,Q1,SCImago 2025
International Journal of Child Health and Nutrition,Q3,SCImago 2025
International Journal of Childbirth,Q4,SCImago 2025
International Journal of Circumpolar Health,Q2,SCImago 2025
International Journal of Clinical Oncology,Q1,SCImago 2025
International Journal of Clinical Pediatric Dentistry,Q3,SCImago 2025
International Journal of Clinical Pharmacology and Therapeutics,Q3,SCImago 2025
International Journal of Clinical Pharmacy,Q2,SCImago 2025
International Journal of Clinical Practice,Q2,SCImago 2025
International Journal of Colorectal Disease,Q2,SCImago 2025
International Journal of Community Based Nursing and Midwifery,Q1,SCImago 2025
International Journal of Computer Assisted Radiology and Surgery,Q2,SCImago 2025
International Journal of Computerized Dentistry,Q2,SCImago 2025
International Journal of Consumer Studies,Q1,SCImago 2025
International Journal of COPD,Q1,SCImago 2025
International Journal of Cosmetic Science,Q2,SCImago 2025
International Journal of Critical Illness and Injury Science,Q3,SCImago 2025
International Journal of Dermatology,Q1,SCImago 2025
International Journal of Dermatology and Venereology,Q3,SCImago 2025
International Journal of Developmental Biology,Q2,SCImago 2025
International Journal of Developmental Disabilities,Q2,SCImago 2025
International Journal of Diabetes in Developing Countries,Q3,SCImago 2025
International Journal of Drug Policy,Q1,SCImago 2025
International Journal of E-Health and Medical Communications,Q2,SCImago 2025
International Journal of Eating Disorders,Q1,SCImago 2025
International Journal of Electronic Healthcare,Q4,SCImago 2025
International Journal of Emergency Management,Q4,SCImago 2025
International Journal of Emergency Medicine,Q2,SCImago 2025
International Journal of Endocrinology,Q2,SCImago 2025
International Journal of Endocrinology and Metabolism,Q3,SCImago 2025
International Journal of Environment and Health,Q2,SCImago 2025
International Journal of Environmental Analytical Chemistry,Q2,SCImago 2025
International Journal of Environmental Health Engineering,Q4,SCImago 2025
International Journal of Environmental Health Research,Q2,SCImago 2025
International Journal of Environmental Research and Public Health,Q1,SCImago 2025
International Journal of Epidemiology,Q1,SCImago 2025
International Journal of Epilepsy,Q4,SCImago 2025
International Journal of Esthetic Dentistry,Q3,SCImago 2025
International Journal of Experimental Pathology,Q2,SCImago 2025
International Journal of Fertility and Sterility,Q2,SCImago 2025
International Journal of Food Contamination,Q1,SCImago 2025
International Journal of Food Microbiology,Q1,SCImago 2025
International Journal of Forensic Mental Health,Q3,SCImago 2025
International Journal of Gastrointestinal Intervention,Q4,SCImago 2025
International Journal of Geriatric Psychiatry,Q1,SCImago 2025
International Journal of Gerontology,Q4,SCImago 2025
International Journal of Gynecological Cancer,Q1,SCImago 2025
International Journal of Gynecological Pathology,Q1,SCImago 2025
International Journal of Gynecology and Obstetrics,Q2,SCImago 2025
International Journal of Health Care Quality Assurance,Q3,SCImago 2025
International Journal of Health Economics and Management,Q2,SCImago 2025
International Journal of Health Geographics,Q1,SCImago 2025
International Journal of Health Governance,Q3,SCImago 2025
International Journal of Health Planning and Management,Q2,SCImago 2025
International Journal of Health Policy and Management,Q1,SCImago 2025
International Journal of Health Promotion and Education,Q3,SCImago 2025
"International Journal of Health, Wellness, and Society",Q4,SCImago 2025
International Journal of Healthcare Information Systems and Informatics,Q4,SCImago 2025
International Journal of Healthcare Management,Q3,SCImago 2025
International Journal of Healthcare Technology and Management,Q4,SCImago 2025
International Journal of Heart Failure,Q1,SCImago 2025
International Journal of Hematology,Q2,SCImago 2025
International Journal of Hematology-Oncology and Stem Cell Research,Q3,SCImago 2025
International Journal of Hepatology,Q3,SCImago 2025
International Journal of High Dilution Research,Q4,SCImago 2025
International Journal of High Risk Behaviors and Addiction,Q4,SCImago 2025
International Journal of Human Movement and Sports Sciences,Q4,SCImago 2025
International Journal of Human Rights in Healthcare,Q3,SCImago 2025
International Journal of Hygiene and Environmental Health,Q1,SCImago 2025
International Journal of Hypertension,Q2,SCImago 2025
International Journal of Hyperthermia,Q2,SCImago 2025
International Journal of Imaging Systems and Technology,Q2,SCImago 2025
International Journal of Immunogenetics,Q3,SCImago 2025
International Journal of Immunopathology and Pharmacology,Q3,SCImago 2025
International Journal of Impotence Research,Q2,SCImago 2025
International Journal of Industrial Ergonomics,Q2,SCImago 2025
International Journal of Infectious Diseases,Q1,SCImago 2025
International Journal of Infertility and Fetal Medicine,Q4,SCImago 2025
International Journal of Inflammation,Q3,SCImago 2025
International Journal of Injury Control and Safety Promotion,Q2,SCImago 2025
International Journal of Integrated Care,Q1,SCImago 2025
International Journal of Kinesiology and Sports Science,Q3,SCImago 2025
International Journal of Laboratory Hematology,Q2,SCImago 2025
International Journal of Law and Psychiatry,Q3,SCImago 2025
International Journal of Legal Medicine,Q1,SCImago 2025
International Journal of Lower Extremity Wounds,Q2,SCImago 2025
International Journal of Medical Education,Q2,SCImago 2025
International Journal of Medical Engineering and Informatics,Q4,SCImago 2025
International Journal of Medical Informatics,Q1,SCImago 2025
International Journal of Medical Microbiology,Q1,SCImago 2025
International Journal of Medical Parasitology and Epidemiology Sciences,Q3,SCImago 2025
International Journal of Medical Robotics and Computer Assisted Surgery,Q2,SCImago 2025
International Journal of Medical Sciences,Q1,SCImago 2025
International Journal of Medical Toxicology and Forensic Medicine,Q4,SCImago 2025
International Journal of Medicine and Health Development,Q3,SCImago 2025
International Journal of Mental Health,Q2,SCImago 2025
International Journal of Mental Health and Addiction,Q2,SCImago 2025
International Journal of Mental Health Nursing,Q1,SCImago 2025
International Journal of Mental Health Promotion,Q2,SCImago 2025
International Journal of Mental Health Systems,Q1,SCImago 2025
International Journal of Methods in Psychiatric Research,Q1,SCImago 2025
International Journal of Microbiology,Q2,SCImago 2025
International Journal of Microsimulation,Q3,SCImago 2025
International Journal of Molecular Medicine,Q1,SCImago 2025
International Journal of Molecular Sciences,Q1,SCImago 2025
International Journal of Morphology,Q3,SCImago 2025
International Journal of MS Care,Q3,SCImago 2025
International Journal of Mycobacteriology,Q3,SCImago 2025
International Journal of Nanomedicine,Q1,SCImago 2025
International Journal of Neonatal Screening,Q1,SCImago 2025
International Journal of Nephrology,Q3,SCImago 2025
International Journal of Nephrology and Renovascular Disease,Q2,SCImago 2025
International Journal of Neural Systems,Q1,SCImago 2025
International Journal of Neuropsychopharmacology,Q1,SCImago 2025
International Journal of Neuroscience,Q3,SCImago 2025
International Journal of Noncommunicable Diseases,Q3,SCImago 2025
"International Journal of Nutrition, Pharmacology, Neurological Diseases",Q3,SCImago 2025
International Journal of Nutrology,Q4,SCImago 2025
International Journal of Obesity,Q1,SCImago 2025
International Journal of Obstetric Anesthesia,Q2,SCImago 2025
International Journal of Occupational Medicine and Environmental Health,Q3,SCImago 2025
International Journal of Occupational Safety and Ergonomics,Q2,SCImago 2025
International Journal of Occupational Safety and Health,Q4,SCImago 2025
International Journal of Offender Therapy and Comparative Criminology,Q2,SCImago 2025
International Journal of Oncology,Q1,SCImago 2025
International Journal of One Health,Q3,SCImago 2025
International Journal of Ophthalmology,Q2,SCImago 2025
International Journal of Oral and Maxillofacial Implants,Q2,SCImago 2025
International Journal of Oral and Maxillofacial Surgery,Q1,SCImago 2025
International Journal of Oral Implantology,Q2,SCImago 2025
International Journal of Organ Transplantation Medicine,Q4,SCImago 2025
International Journal of Orthopaedic and Trauma Nursing,Q3,SCImago 2025
International Journal of Osteopathic Medicine,Q2,SCImago 2025
International Journal of Paleopathology,Q2,SCImago 2025
International Journal of Particle Therapy,Q2,SCImago 2025
International Journal of Pediatric Otorhinolaryngology,Q2,SCImago 2025
International Journal of Pediatrics and Adolescent Medicine,Q3,SCImago 2025
International Journal of Pediatrics (United Kingdom),Q2,SCImago 2025
International Journal of Performance Analysis in Sport,Q2,SCImago 2025
International Journal of Periodontics and Restorative Dentistry,Q3,SCImago 2025
International Journal of Pharmaceutical and Healthcare Marketing,Q3,SCImago 2025
International Journal of Pharmaceutical Compounding,Q4,SCImago 2025
International Journal of Pharmaceutical Sciences and Nanotechnology,Q4,SCImago 2025
International Journal of Pharmacy Practice,Q2,SCImago 2025
International Journal of Population Data Science,Q3,SCImago 2025
International Journal of Practice-Based Learning in Health and Social Care,Q4,SCImago 2025
International Journal of Preventive Medicine,Q3,SCImago 2025
International Journal of Prisoner Health,Q3,SCImago 2025
International Journal of Probiotics and Prebiotics,Q4,SCImago 2025
International Journal of Prosthodontics,Q2,SCImago 2025
International Journal of Psychiatry in Clinical Practice,Q2,SCImago 2025
International Journal of Psychiatry in Medicine,Q2,SCImago 2025
International Journal of Psychoanalysis,Q3,SCImago 2025
International Journal of Psychology,Q2,SCImago 2025
International Journal of Psychophysiology,Q2,SCImago 2025
International Journal of Public Health,Q1,SCImago 2025
International Journal of Qualitative Studies on Health and Well-being,Q2,SCImago 2025
International Journal of Radiation Biology,Q2,SCImago 2025
International Journal of Radiation Oncology Biology Physics,Q1,SCImago 2025
International Journal of Radiation Research,Q4,SCImago 2025
International Journal of Rehabilitation Research,Q2,SCImago 2025
International Journal of Reliable and Quality E-Healthcare,Q4,SCImago 2025
International Journal of Reproductive BioMedicine,Q3,SCImago 2025
International Journal of Retina and Vitreous,Q1,SCImago 2025
International Journal of Rheumatic Diseases,Q3,SCImago 2025
International Journal of Rheumatology,Q3,SCImago 2025
International Journal of Risk and Safety in Medicine,Q3,SCImago 2025
International Journal of School Health,Q4,SCImago 2025
International Journal of Sexual Health,Q2,SCImago 2025
International Journal of Social Determinants of Health and Health Services,Q2,SCImago 2025
International Journal of Social Psychiatry,Q1,SCImago 2025
International Journal of Special Education,Q3,SCImago 2025
International Journal of Speech-Language Pathology,Q2,SCImago 2025
International Journal of Spine Surgery,Q1,SCImago 2025
International Journal of Sport and Society,Q4,SCImago 2025
International Journal of Sport Nutrition and Exercise Metabolism,Q1,SCImago 2025
International Journal of Sport Studies for Health,Q3,SCImago 2025
International Journal of Sports Medicine,Q2,SCImago 2025
International Journal of Sports Physical Therapy,Q1,SCImago 2025
International Journal of Sports Physiology and Performance,Q1,SCImago 2025
International Journal of Statistics in Medical Research,Q4,SCImago 2025
International Journal of STD and AIDS,Q2,SCImago 2025
International Journal of Stress Management,Q2,SCImago 2025
International Journal of Stroke,Q1,SCImago 2025
International Journal of Surgery Case Reports,Q3,SCImago 2025
International Journal of Surgery Open,Q3,SCImago 2025
International Journal of Surgery Protocols,Q3,SCImago 2025
International Journal of Surgical Oncology,Q2,SCImago 2025
International Journal of Surgical Pathology,Q2,SCImago 2025
International Journal of Systematic and Evolutionary Microbiology,Q2,SCImago 2025
International Journal of Systemic Therapy,Q4,SCImago 2025
International Journal of Technology Assessment in Health Care,Q1,SCImago 2025
International Journal of Telemedicine and Applications,Q2,SCImago 2025
International Journal of Telerehabilitation,Q3,SCImago 2025
International Journal of the Cardiovascular Academy,Q4,SCImago 2025
International Journal of Therapy and Rehabilitation,Q3,SCImago 2025
International Journal of Transgender Health,Q1,SCImago 2025
International Journal of Translational Medicine,Q3,SCImago 2025
International Journal of Trichology,Q3,SCImago 2025
International Journal of Tuberculosis and Lung Disease,Q2,SCImago 2025
International Journal of Urological Nursing,Q3,SCImago 2025
International Journal of Urology,Q2,SCImago 2025
International Journal of Vascular Medicine,Q3,SCImago 2025
International Journal of Women's Dermatology,Q2,SCImago 2025
International Journal of Women's Health,Q2,SCImago 2025
International Journal of Women's Health and Reproduction Sciences,Q3,SCImago 2025
International Journal of Workplace Health Management,Q2,SCImago 2025
"International Journal on Child Maltreatment: Research, Policy and Practice",Q2,SCImago 2025
International Journal on Disability and Human Development,Q4,SCImago 2025
International Journal on Magnetic Particle Imaging,Q3,SCImago 2025
International Maritime Health,Q3,SCImago 2025
International Medical Case Reports Journal,Q3,SCImago 2025
International Medical Education,Q3,SCImago 2025
International Microbiology,Q3,SCImago 2025
International Nano Letters,Q2,SCImago 2025
International Neurourology Journal,Q2,SCImago 2025
International Ophthalmology,Q2,SCImago 2025
International Ophthalmology Clinics,Q3,SCImago 2025
International Orthopaedics,Q1,SCImago 2025
International Psychogeriatrics,Q1,SCImago 2025
International Review of Neurobiology,Q3,SCImago 2025
International Review of Psychiatry,Q2,SCImago 2025
International Reviews of Immunology,Q1,SCImago 2025
International Surgery,Q4,SCImago 2025
International Tinnitus Journal,Q4,SCImago 2025
International Urogynecology Journal,Q2,SCImago 2025
International Urology and Nephrology,Q2,SCImago 2025
International Wound Journal,Q1,SCImago 2025
Internet Interventions,Q1,SCImago 2025
Internistische Praxis,Q4,SCImago 2025
Intervencni a Akutni Kardiologie,Q4,SCImago 2025
Intervention,Q3,SCImago 2025
Interventional Cardiology Clinics,Q3,SCImago 2025
"Interventional Cardiology: Reviews, Research, Resources",Q2,SCImago 2025
Interventional Neuroradiology,Q2,SCImago 2025
Interventional Pain Medicine,Q2,SCImago 2025
Intervirology,Q3,SCImago 2025
Intestinal Research,Q1,SCImago 2025
Intractable and Rare Diseases Research,Q2,SCImago 2025
Investigacion Clinica (Venezuela),Q4,SCImago 2025
Investigacion en Educacion Medica,Q4,SCImago 2025
Investigacion y Educacion en Enfermeria,Q2,SCImago 2025
Investigational New Drugs,Q2,SCImago 2025
Investigative and Clinical Urology,Q1,SCImago 2025
Investigative Magnetic Resonance Imaging,Q3,SCImago 2025
Investigative Ophthalmology and Visual Science,Q1,SCImago 2025
Investigative Radiology,Q1,SCImago 2025
Iowa Orthopedic Journal,Q3,SCImago 2025
IP Indian Journal of Clinical and Experimental Dermatology,Q4,SCImago 2025
IP Indian Journal of Immunology and Respiratory Medicine,Q4,SCImago 2025
IP International Journal of Medical Microbiology and Tropical Diseases,Q4,SCImago 2025
iRADIOLOGY,Q3,SCImago 2025
Iran Occupational Health,Q4,SCImago 2025
Iranian Biomedical Journal,Q3,SCImago 2025
Iranian Heart Journal,Q4,SCImago 2025
Iranian Journal of Ageing,Q3,SCImago 2025
"Iranian Journal of Allergy, Asthma and Immunology",Q3,SCImago 2025
Iranian Journal of Blood and Cancer,Q3,SCImago 2025
Iranian Journal of Breast Diseases,Q3,SCImago 2025
Iranian Journal of Child Neurology,Q3,SCImago 2025
Iranian Journal of Dermatology,Q4,SCImago 2025
Iranian Journal of Diabetes and Metabolism,Q4,SCImago 2025
Iranian Journal of Endocrinology and Metabolism,Q4,SCImago 2025
Iranian Journal of Epidemiology,Q4,SCImago 2025
Iranian Journal of Health and Environment,Q4,SCImago 2025
Iranian Journal of Health Education and Health Promotion,Q4,SCImago 2025
Iranian Journal of Health Sciences,Q4,SCImago 2025
Iranian Journal of Immunology,Q3,SCImago 2025
Iranian Journal of Kidney Diseases,Q3,SCImago 2025
Iranian Journal of Medical Ethics and History of Medicine,Q4,SCImago 2025
Iranian Journal of Medical Microbiology,Q4,SCImago 2025
Iranian Journal of Medical Physics,Q4,SCImago 2025
Iranian Journal of Medical Sciences,Q3,SCImago 2025
Iranian Journal of Microbiology,Q3,SCImago 2025
Iranian Journal of Neonatology,Q3,SCImago 2025
Iranian Journal of Neurosurgery,Q4,SCImago 2025
Iranian Journal of Nuclear Medicine,Q4,SCImago 2025
Iranian Journal of Nutrition Sciences and Food Technology,Q4,SCImago 2025
"Iranian Journal of Obstetrics, Gynecology and Infertility",Q3,SCImago 2025
Iranian Journal of Otorhinolaryngology,Q3,SCImago 2025
Iranian Journal of Parasitology,Q3,SCImago 2025
Iranian Journal of Pathology,Q3,SCImago 2025
Iranian Journal of Pediatric Hematology and Oncology,Q4,SCImago 2025
Iranian Journal of Pediatrics,Q3,SCImago 2025
Iranian Journal of Pharmaceutical Research,Q3,SCImago 2025
Iranian Journal of Psychiatry,Q2,SCImago 2025
Iranian Journal of Psychiatry and Behavioral Sciences,Q3,SCImago 2025
Iranian Journal of Psychiatry and Clinical Psychology,Q4,SCImago 2025
Iranian Journal of Public Health,Q2,SCImago 2025
Iranian Journal of Radiology,Q4,SCImago 2025
Iranian Journal of War and Public Health,Q4,SCImago 2025
Iranian Rehabilitation Journal,Q3,SCImago 2025
Iranian South Medical Journal,Q4,SCImago 2025
Iraqi Journal of Hematology,Q4,SCImago 2025
Iraqi Journal of Pharmaceutical Sciences,Q3,SCImago 2025
Irish Journal of Medical Science,Q2,SCImago 2025
Irish Journal of Occupational Therapy,Q3,SCImago 2025
Irish Journal of Psychological Medicine,Q3,SCImago 2025
Irish Medical Journal,Q4,SCImago 2025
IRYO - Japanese Journal of National Medical Services,Q4,SCImago 2025
Islets,Q3,SCImago 2025
Isokinetics and Exercise Science,Q3,SCImago 2025
Israel Journal of Health Policy Research,Q2,SCImago 2025
Israel Medical Association Journal,Q3,SCImago 2025
Issues in Law and Medicine,Q4,SCImago 2025
Issues in Mental Health Nursing,Q3,SCImago 2025
Istanbul Tip Fakultesi Dergisi,Q4,SCImago 2025
Italian Journal of Anatomy and Embryology,Q3,SCImago 2025
Italian Journal of Dermatology and Venereology,Q2,SCImago 2025
Italian Journal of Gynaecology and Obstetrics,Q3,SCImago 2025
Italian Journal of Medicine,Q4,SCImago 2025
Italian Journal of Pediatrics,Q1,SCImago 2025
Italian Journal of Vascular and Endovascular Surgery,Q4,SCImago 2025
JA Clinical Reports,Q3,SCImago 2025
JAAD Case Reports,Q3,SCImago 2025
JAAD International,Q1,SCImago 2025
JAAD Reviews,Q3,SCImago 2025
JAC-Antimicrobial Resistance,Q1,SCImago 2025
JACC: Advances,Q1,SCImago 2025
JACC: Asia,Q1,SCImago 2025
JACC: Basic to Translational Science,Q1,SCImago 2025
JACC: CardioOncology,Q1,SCImago 2025
JACC: Cardiovascular Imaging,Q1,SCImago 2025
JACC: Cardiovascular Interventions,Q1,SCImago 2025
JACC: Case Reports,Q3,SCImago 2025
JACC: Clinical Electrophysiology,Q1,SCImago 2025
JACC: Heart Failure,Q1,SCImago 2025
JACCP Journal of the American College of Clinical Pharmacy,Q3,SCImago 2025
JACEP Open,Q1,SCImago 2025
Jahr,Q4,SCImago 2025
JAMA,Q1,SCImago 2025
JAMA Cardiology,Q1,SCImago 2025
JAMA Dermatology,Q1,SCImago 2025
JAMA Health Forum,Q1,SCImago 2025
JAMA Internal Medicine,Q1,SCImago 2025
JAMA Network Open,Q1,SCImago 2025
JAMA Neurology,Q1,SCImago 2025
JAMA Oncology,Q1,SCImago 2025
JAMA Ophthalmology,Q1,SCImago 2025
JAMA Otolaryngology - Head and Neck Surgery,Q1,SCImago 2025
JAMA Pediatrics,Q1,SCImago 2025
JAMA Psychiatry,Q1,SCImago 2025
JAMA Surgery,Q1,SCImago 2025
Jambura Journal of Biomathematics,Q4,SCImago 2025
JAMIA Open,Q1,SCImago 2025
JAMMI,Q3,SCImago 2025
Japan Journal of Nursing Science,Q2,SCImago 2025
Japanese Journal of Allergology,Q4,SCImago 2025
Japanese Journal of Cancer and Chemotherapy,Q4,SCImago 2025
Japanese Journal of Chemotherapy,Q4,SCImago 2025
Japanese Journal of Clinical Oncology,Q2,SCImago 2025
Japanese Journal of Clinical Ophthalmology,Q4,SCImago 2025
Japanese Journal of Clinical Pharmacology and Therapeutics,Q4,SCImago 2025
Japanese Journal of Clinical Urology,Q4,SCImago 2025
Japanese Journal of Gastroenterological Surgery,Q4,SCImago 2025
Japanese Journal of Geriatrics,Q4,SCImago 2025
Japanese Journal of Head and Neck Cancer,Q4,SCImago 2025
Japanese Journal of Health Physics,Q4,SCImago 2025
Japanese Journal of Hygiene,Q4,SCImago 2025
Japanese Journal of Infectious Diseases,Q3,SCImago 2025
Japanese Journal of Leprosy,Q4,SCImago 2025
Japanese Journal of Lung Cancer,Q4,SCImago 2025
Japanese Journal of Neurosurgery,Q4,SCImago 2025
Japanese Journal of Ophthalmology,Q1,SCImago 2025
Japanese Journal of Physical Fitness and Sports Medicine,Q4,SCImago 2025
Japanese Journal of Radiology,Q1,SCImago 2025
Japanese Journal of Urology,Q4,SCImago 2025
Japanese Pharmacology and Therapeutics,Q4,SCImago 2025
JARO - Journal of the Association for Research in Otolaryngology,Q1,SCImago 2025
JAVA - Journal of the Association for Vascular Access,Q4,SCImago 2025
JBI Evidence Implementation,Q3,SCImago 2025
JBJS Case Connector,Q3,SCImago 2025
JBJS Essential Surgical Techniques,Q2,SCImago 2025
JBJS Open Access,Q1,SCImago 2025
JBJS Reviews,Q1,SCImago 2025
JBMR Plus,Q1,SCImago 2025
JCEM Case Reports,Q4,SCImago 2025
JCI Insight,Q1,SCImago 2025
JCO Clinical Cancer Informatics,Q1,SCImago 2025
JCO Global Oncology,Q2,SCImago 2025
JCO Oncology Practice,Q1,SCImago 2025
JCO Precision Oncology,Q1,SCImago 2025
JCPP Advances,Q1,SCImago 2025
JCRPE Journal of Clinical Research in Pediatric Endocrinology,Q2,SCImago 2025
JCRS Online Case Reports,Q3,SCImago 2025
JDDG - Journal of the German Society of Dermatology,Q2,SCImago 2025
JEADV Clinical Practice,Q3,SCImago 2025
JFO Open Ophthalmology,Q3,SCImago 2025
JGH Open,Q3,SCImago 2025
JHEP Reports,Q1,SCImago 2025
JHLT Open,Q3,SCImago 2025
JID Innovations,Q1,SCImago 2025
JIMD Reports,Q2,SCImago 2025
JK Practitioner,Q4,SCImago 2025
JK Science,Q4,SCImago 2025
JMIR Aging,Q1,SCImago 2025
JMIR AI,Q1,SCImago 2025
JMIR Bioinformatics and Biotechnology,Q3,SCImago 2025
JMIR Biomedical Engineering,Q3,SCImago 2025
JMIR Cancer,Q2,SCImago 2025
JMIR Cardio,Q2,SCImago 2025
JMIR Dermatology,Q2,SCImago 2025
JMIR Diabetes,Q2,SCImago 2025
JMIR Formative Research,Q2,SCImago 2025
JMIR Human Factors,Q2,SCImago 2025
JMIR Infodemiology,Q2,SCImago 2025
JMIR Medical Informatics,Q1,SCImago 2025
JMIR Mental Health,Q1,SCImago 2025
JMIR mHealth and uHealth,Q1,SCImago 2025
JMIR Neurotechnology,Q2,SCImago 2025
JMIR Pediatrics and Parenting,Q1,SCImago 2025
JMIR Perioperative Medicine,Q2,SCImago 2025
JMIR Public Health and Surveillance,Q1,SCImago 2025
JMIR Rehabilitation and Assistive Technologies,Q1,SCImago 2025
JMIR Research Protocols,Q2,SCImago 2025
JMIR Serious Games,Q1,SCImago 2025
JMIR XR and Spatial Computing,Q2,SCImago 2025
JMS - Journal of Medical Society,Q4,SCImago 2025
JMV-Journal de Medecine Vasculaire,Q3,SCImago 2025
JNCCN Journal of the National Comprehensive Cancer Network,Q1,SCImago 2025
JNCI Cancer Spectrum,Q1,SCImago 2025
"JOGNN - Journal of Obstetric, Gynecologic, and Neonatal Nursing",Q3,SCImago 2025
Joint Bone Spine,Q1,SCImago 2025
Joint Commission Journal on Quality and Patient Safety,Q1,SCImago 2025
Joint Diseases and Related Surgery,Q1,SCImago 2025
JOR Spine,Q1,SCImago 2025
Jordan Journal of Nursing Research,Q4,SCImago 2025
Jordan Medical Journal,Q4,SCImago 2025
Jornal Brasileiro de Pneumologia,Q2,SCImago 2025
Jornal Brasileiro de Psiquiatria,Q4,SCImago 2025
Jornal Brasileiro de Reproducao Assistida,Q2,SCImago 2025
Jornal de Pediatria,Q1,SCImago 2025
Jornal Vascular Brasileiro,Q3,SCImago 2025
Journal Africain d'Hepato-Gastroenterologie,Q4,SCImago 2025
Journal d'imagerie Diagnostique et Interventionnelle,Q4,SCImago 2025
Journal de Pediatrie et de Puericulture,Q4,SCImago 2025
Journal de Pharmacie Clinique,Q4,SCImago 2025
Journal de Traumatologie du Sport,Q4,SCImago 2025
Journal Europeen des Urgences et de Reanimation,Q4,SCImago 2025
Journal for Healthcare Quality,Q3,SCImago 2025
Journal for ImmunoTherapy of Cancer,Q1,SCImago 2025
Journal for Modeling in Ophthalmology,Q4,SCImago 2025
Journal for Nurses in Professional Development,Q3,SCImago 2025
Journal for the Measurement of Physical Behaviour,Q2,SCImago 2025
Journal for Vascular Ultrasound,Q4,SCImago 2025
Journal Francais d'Ophtalmologie,Q3,SCImago 2025
Journal fur Asthetische Chirurgie,Q4,SCImago 2025
"Journal fur Endokrinologie, Diabetologie und Stoffwechsel",Q4,SCImago 2025
Journal fur Gastroenterologische und Hepatologische Erkrankungen,Q4,SCImago 2025
"Journal fur Neurologie, Neurochirurgie und Psychiatrie",Q4,SCImago 2025
Journal fur Pharmakologie und Therapie,Q4,SCImago 2025
Journal fur Reproduktionsmedizin und Endokrinologie,Q4,SCImago 2025
Journal fur Urologie und Urogynakologie,Q4,SCImago 2025
"Journal, Indian Academy of Clinical Medicine",Q4,SCImago 2025
Journal International de Bioethique et d'Ethique des Sciences,Q4,SCImago 2025
Journal Medical Libanais,Q4,SCImago 2025
Journal of 3D Printing in Medicine,Q3,SCImago 2025
Journal of AAPOS,Q2,SCImago 2025
Journal of Abdominal Wall Surgery,Q1,SCImago 2025
Journal of Acquired Immune Deficiency Syndromes (1999),Q1,SCImago 2025
"Journal of Activity, Sedentary and Sleep Behaviors",Q2,SCImago 2025
Journal of Acupuncture and Tuina Science,Q3,SCImago 2025
Journal of Acute Medicine,Q3,SCImago 2025
Journal of Addiction Medicine,Q1,SCImago 2025
Journal of Addictions Nursing,Q3,SCImago 2025
Journal of Addictive Diseases,Q3,SCImago 2025
Journal of Adolescence,Q1,SCImago 2025
Journal of Adolescent and Young Adult Oncology,Q2,SCImago 2025
Journal of Adolescent Health,Q1,SCImago 2025
Journal of Advances in Medical and Biomedical Research,Q4,SCImago 2025
Journal of Advances in Medical Education and Professionalism,Q2,SCImago 2025
Journal of Aerosol Medicine and Pulmonary Drug Delivery,Q3,SCImago 2025
Journal of Affective Disorders,Q1,SCImago 2025
Journal of Affective Disorders Reports,Q2,SCImago 2025
Journal of Ageing and Longevity,Q3,SCImago 2025
"Journal of Aggression, Maltreatment and Trauma",Q2,SCImago 2025
Journal of Aging and Health,Q1,SCImago 2025
Journal of Aging and Physical Activity,Q2,SCImago 2025
Journal of Aging Research,Q3,SCImago 2025
Journal of Aging Research and Lifestyle,Q2,SCImago 2025
Journal of Aging Studies,Q2,SCImago 2025
Journal of Agricultural Safety and Health,Q3,SCImago 2025
Journal of Agromedicine,Q2,SCImago 2025
Journal of Allergy and Clinical Immunology,Q1,SCImago 2025
Journal of Allergy and Clinical Immunology: Global,Q2,SCImago 2025
Journal of Allergy and Clinical Immunology: In Practice,Q1,SCImago 2025
Journal of Allied Health,Q3,SCImago 2025
Journal of Alzheimer's Disease,Q1,SCImago 2025
Journal of Alzheimer's Disease Reports,Q2,SCImago 2025
Journal of Ambulatory Care Management,Q3,SCImago 2025
Journal of American College Health,Q1,SCImago 2025
Journal of Anaesthesiology Clinical Pharmacology,Q2,SCImago 2025
Journal of Anatomy,Q1,SCImago 2025
Journal of Anesthesia,Q1,SCImago 2025
"Journal of Anesthesia, Analgesia and Critical Care",Q1,SCImago 2025
Journal of Anesthesia and Translational Medicine,Q2,SCImago 2025
Journal of Animal Breeding and Genetics,Q2,SCImago 2025
Journal of Animal Science,Q2,SCImago 2025
Journal of Anthropological Sciences,Q2,SCImago 2025
